MCLACHLAN_DENTAL_CARIES_UP	7	193	12	98.3838709677	9.2012350272e-11	1.72799193811e-07
KEGG_LEISHMANIA_INFECTION	5	61	12	168.431122449	1.34008581639e-09	1.25834058159e-06
HINATA_NFKB_TARGETS_KERATINOCYTE_UP	5	85	12	117.6875	7.31092199952e-09	2.74598230302e-06
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	5	77	12	130.843253968	4.41927476419e-09	2.74598230302e-06
KEGG_GRAFT_VERSUS_HOST_DISEASE	4	27	12	287.826086957	6.64249437094e-09	2.74598230302e-06
KEGG_TYPE_I_DIABETES_MELLITUS	4	33	12	228.172413793	1.5442989811e-08	4.83365581084e-06
GAURNIER_PSMD4_TARGETS	4	58	12	122.305555556	1.58194595602e-07	3.71361813176e-05
LINDSTEDT_DENDRITIC_CELL_MATURATION_A	4	58	12	122.305555556	1.58194595602e-07	3.71361813176e-05
MARKS_HDAC_TARGETS_DN	3	14	12	401.636363636	2.04194180492e-07	4.26085189959e-05
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_UP	4	72	12	97.0220588235	3.81009325236e-07	7.15535512793e-05
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	5	206	12	46.4108031272	6.21895983346e-07	0.000106174605157
KEGG_ASTHMA	3	22	12	232.385964912	8.60388941131e-07	0.000115415030817
DEBOSSCHER_NFKB_TARGETS_REPRESSED_BY_GLUCOCORTICOIDS	3	21	12	245.314814815	7.43441404894e-07	0.000115415030817
NABA_SECRETED_FACTORS	5	219	12	43.5480640854	8.4209672328e-07	0.000115415030817
NABA_MATRISOME_ASSOCIATED	6	471	12	27.5139784946	1.49143343274e-06	0.000186727465779
KEGG_ALLOGRAFT_REJECTION	3	27	12	183.902777778	1.63002722071e-06	0.000191324445031
SCHOEN_NFKB_SIGNALING	3	31	12	157.583333333	2.49985309931e-06	0.000276160242383
BIOCARTA_IL1R_PATHWAY	3	33	12	147.055555556	3.03121696245e-06	0.000299611866078
PID_IL23_PATHWAY	3	33	12	147.055555556	3.03121696245e-06	0.000299611866078
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS	3	38	12	126.0	4.67491589103e-06	0.000418071049684
BUDHU_LIVER_CANCER_METASTASIS_DN	2	4	12	1326.5	4.48735988332e-06	0.000418071049684
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	4	144	12	46.8678571429	6.14403458479e-06	0.000524477134101
NABA_MATRISOME	6	631	12	20.2144	8.15396378665e-06	0.000665788869188
ONDER_CDH1_TARGETS_3_DN	3	48	12	97.9259259259	9.53611794453e-06	0.00074620122916
GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP	3	52	12	89.9047619048	1.2159998807e-05	0.000913459110383
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP	3	58	12	80.0606060606	1.69259749615e-05	0.00122257619145
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3	59	12	78.625	1.78236423997e-05	0.00123973334913
GHANDHI_BYSTANDER_IRRADIATION_UP	3	60	12	77.2397660819	1.8752174282e-05	0.00125773511792
SEIKE_LUNG_CANCER_POOR_SURVIVAL	2	8	12	442.033333333	2.08989856611e-05	0.00130827650238
GOUYER_TATI_TARGETS_UP	2	8	12	442.033333333	2.08989856611e-05	0.00130827650238
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	4	205	12	32.4925373134	2.48088994208e-05	0.00150293913265
AGARWAL_AKT_PATHWAY_TARGETS	2	9	12	378.857142857	2.68566328692e-05	0.00152838656147
BIOCARTA_IL5_PATHWAY	2	9	12	378.857142857	2.68566328692e-05	0.00152838656147
KEGG_HEMATOPOIETIC_CELL_LINEAGE	3	71	12	64.6911764706	3.1145263485e-05	0.00172031778897
SHIN_B_CELL_LYMPHOMA_CLUSTER_6	2	10	12	331.475	3.35539352238e-05	0.00175039695417
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	2	10	12	331.475	3.35539352238e-05	0.00175039695417
HARRIS_HYPOXIA	3	75	12	61.0787037037	3.6721225512e-05	0.00186385031112
HINATA_NFKB_TARGETS_FIBROBLAST_UP	3	77	12	59.4189189189	3.97396709461e-05	0.00196397636939
NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	3	80	12	57.0909090909	4.45662782752e-05	0.00214603770771
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	4	241	12	27.4810126582	4.6769989986e-05	0.00219585102984
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	2	12	12	265.14	4.91630321717e-05	0.00225190669313
GHANDHI_DIRECT_IRRADIATION_UP	3	84	12	54.2551440329	5.15799011442e-05	0.00230635843688
REACTOME_PD1_SIGNALING	2	13	12	241.018181818	5.80725930146e-05	0.00253628673678
BASSO_CD40_SIGNALING_UP	3	89	12	51.0813953488	6.13188939504e-05	0.00255904184086
